ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
None,POINT (37.1186345815659 36.1918842916073),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1163493394852 36.1909534820228),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1326839923859 36.1874812481962),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1565771102905 36.1577574793366),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1205174922943 36.1769163981684),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1231245994568 36.1791767031012),"No, it appears destroyed   ",75.0,Closed   ,No   ,Yes   
None,POINT (37.1210861206055 36.1812204475904),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1294921636581 36.1740324661684),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1317452192307 36.179990743312),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1299588680267 36.181592819022),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1325927972794 36.1820907547983),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1326410770416 36.1808350845939),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1569097042084 36.1847882127252),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1549677848816 36.1831515639415),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.136482000351 36.1714688819487),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1400600671768 36.1764660614261),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1424150466919 36.1762885241145),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1416157484055 36.17673020156),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1420073509216 36.1813027158497),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1239560842514 36.1895897177683),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1425437927246 36.1921007573668),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1441584825516 36.1932480159024),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1529024839401 36.1594986052718),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1281242370605 36.192906004739),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1241921186447 36.1849657307756),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245729923248 36.1815668396772),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1244978904724 36.1739285387095),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1537446975708 36.1802418816697),Yes   ,75.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1665227413177 36.2162978558757),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1660077571869 36.2084681645024),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1065539121628 36.1961485568507),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.0998805761337 36.2019709602163),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1529239416122 36.2103596542534),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1411436796188 36.2045725038227),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1646398305893 36.2185180735251),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1613085269928 36.215674625561),Yes   ,15.0,Very busy   ,No   ,No   
None,POINT (37.1556222438812 36.2122597546758),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1631807088852 36.2139260917874),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1514755487442 36.2162459202057),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1469962596893 36.1990879506654),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,Yes   
None,POINT (37.1149867773056 36.1816361179108),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.166930437088 36.205697936825),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1402209997177 36.2094074225645),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1754062175751 36.2161723446143),"No, it appears destroyed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1640282869339 36.2168994415399),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1657717227936 36.2158001376208),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1614158153534 36.2131989672299),Yes   ,15.0,Somewhat busy   ,No   ,No   
None,POINT (37.1505904197693 36.2140126537846),Yes   ,15.0,Somewhat busy   ,No   ,No   
